city,population,lat,lon,region_name,region_name_ao,region_iso_code,federal_district,okato,oktmo,kladr_id,fias_id
Бобров,20.0,51.0901649,40.0318256,Воронежская область,,RU-VOR,Центральный,20204501000,20604101001,3600300100000,0a50bda2-e801-4e11-bcc0-8c6469d46a5d
Богучар,11.0,49.9352454,40.5590801,Воронежская область,,RU-VOR,Центральный,20205501000,20605101001,3600400100000,33b88f52-819d-4ba5-aa70-3fe4ccfd33d6
Борисоглебск,59.9,51.3655754,42.1008334,Воронежская область,,RU-VOR,Центральный,20410000000,20710000001,3600500100000,e5c49f70-5235-49ef-a16b-816114b36566
Бутурлиновка,24.0,50.8311818,40.5976923,Воронежская область,,RU-VOR,Центральный,20208501000,20608101001,3600600100000,b3c350d7-8c81-4016-b198-f197536e8321
Воронеж,1058.3,51.6593332,39.1969229,Воронежская область,,RU-VOR,Центральный,20401000000,20701000001,3600000100000,5bf5ddff-6353-4a3d-80c4-6fb27f00c6c1
Калач,18.2,50.4242134,41.0162014,Воронежская область,,RU-VOR,Центральный,20215501000,20615101001,3601100100000,57a863b5-02a7-482a-8320-a3d165c4bfd0
Лиски,53.5,50.9945626,39.5184909,Воронежская область,,RU-VOR,Центральный,20221501000,20621101001,3601500100000,e0a82358-88c2-44ab-b402-c450e1aa52a8
Нововоронеж,31.5,51.3091524,39.2162843,Воронежская область,,RU-VOR,Центральный,20427000000,20727000001,3600000300000,c7cdacb9-6a1e-4402-8bc6-6ec36a42d05c
Новохоперск,5.9,51.0952211,41.6173404,Воронежская область,,RU-VOR,Центральный,20227501000,20627101001,3601800100000,43fe280f-6fa3-4a06-8daf-94586e2bea44
Острогожск,31.8,50.8677905,39.0407746,Воронежская область,,RU-VOR,Центральный,20231501000,20631101001,3602000100000,8434550d-dd9b-4bc7-8e5b-d43a991753e2
Павловск,24.5,50.453455,40.136874,Воронежская область,,RU-VOR,Центральный,20233501000,20633101001,3602100100000,f4a89d85-b770-4d58-b205-31165a9958b8
Поворино,16.7,51.1954419,42.2472726,Воронежская область,,RU-VOR,Центральный,20239501000,20639101001,3602400100000,9cb55edf-0fb2-46af-8f00-02b15c2f1644
Россошь,62.6,50.1701949,39.6226965,Воронежская область,,RU-VOR,Центральный,20247501000,20647101001,3602800100000,1ed74fcf-2dd0-460a-99b9-029ca382517d
Семилуки,27.0,51.6951644,39.0190454,Воронежская область,,RU-VOR,Центральный,20249501000,20649101001,3602900100000,15d507b5-f67e-4ee6-9f25-683562699fac
Эртиль,10.1,51.830932,40.8074182,Воронежская область,,RU-VOR,Центральный,20258501000,20658101001,3603300100000,fdbadb36-e4f6-4843-8f1f-80bd4fb4381e
Биробиджан,71.8,48.7946446,132.9217207,Еврейская автономная область,,RU-YEV,Дальневосточный,99401000000,99701000001,7900000100000,5d133391-46ee-496b-83a6-efeeaa903643
Облучье,8.4,49.0189345,131.0540102,Еврейская автономная область,,RU-YEV,Дальневосточный,99220501000,99620101001,7900300100000,b60c1e9f-9355-47ef-b5a3-82906d074bd4
Балей,10.7,51.5823759,116.6379549,Забайкальский край,,RU-ZAB,Дальневосточный,76206501000,76606101001,7500400100000,29a51a64-5ca3-4cc6-87ff-9cdfcc17642e
Борзя,29.2,50.3876058,116.5234779,Забайкальский край,,RU-ZAB,Дальневосточный,76209501000,76609101001,7500500100000,d4b135b9-4504-4bae-8585-da058d350f58
Краснокаменск,51.4,50.0929703,118.0323936,Забайкальский край,,RU-ZAB,Дальневосточный,76221501000,76621101001,7501100100000,3c9d5e9e-2922-4e9e-9e49-dbe6faf01fb2
Могоча,13.0,53.7361398,119.7660867,Забайкальский край,,RU-ZAB,Дальневосточный,76226501000,76626101001,7501400100000,29eb6b99-27ad-493c-9fd1-a83fe8acdf24
Нерчинск,14.7,51.9594977,116.5852383,Забайкальский край,,RU-ZAB,Дальневосточный,76228501000,76628101,7501500100000,ba325548-ac92-4a21-904b-bb535e5fe249
Петровск-Забайкальский,15.8,51.2748592,108.846681,Забайкальский край,,RU-ZAB,Дальневосточный,76236501000,76715000001,7501900100000,b26bb2c1-f79b-4c97-9d2d-e73790cfe622
Сретенск,6.4,52.2461454,117.7117842,Забайкальский край,,RU-ZAB,Дальневосточный,76240501000,76640101001,7502100100000,f9dd7993-4953-4980-bbcc-2666b94b2a06
Хилок,10.3,51.3634856,110.4590898,Забайкальский край,,RU-ZAB,Дальневосточный,76247501000,76647101001,7502500100000,a4b18a69-c5df-4022-ba9b-a29f99acfa42
Чита,351.8,52.0340142,113.4994,Забайкальский край,,RU-ZAB,Дальневосточный,76401000000,76701000001,7500000100000,2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c
Шилка,12.5,51.8497035,116.0334461,Забайкальский край,,RU-ZAB,Дальневосточный,76254501000,76654101001,7502800100000,69efa85f-c9d7-44bb-bcda-95205cd1a647
