,city,geo_lat,geo_lon,region,region_iso_code,federal_district,capital_marker,okato,oktmo,kladr_id,fias_id,unparsed_parts,query_city,query_region
112,Белозерск,60.0308381,37.7890586,Вологодская,RU-VLG,Северо-Западный,1,19210501000,19610101001,3500400100000,9444e5a5-b164-42b8-b4ff-e3b4c157fc54,,Белозерск,Вологодская область
113,Великий Устюг,60.7603913,46.3054414,Вологодская,RU-VLG,Северо-Западный,1,19410000000,19614101001,3500600100000,9db452cb-452a-4373-9610-a265b3b55653,,Великий Устюг,Вологодская область
114,Вологда,59.2483905,39.8355662,Вологодская,RU-VLG,Северо-Западный,2,19401000000,19701000001,3500000100000,023484a5-f98d-4849-82e1-b7e0444b54ef,,Вологда,Вологодская область
115,Вытегра,61.0063465,36.4495137,Вологодская,RU-VLG,Северо-Западный,1,19222501000,19622101001,3500900100000,f66fbc22-445e-42ab-8f53-3de507d877c9,,Вытегра,Вологодская область
116,Грязовец,58.8757553,40.2485362,Вологодская,RU-VLG,Северо-Западный,1,19224501000,19624101001,3501000100000,aeee36bc-969a-4cc6-9fb3-5e237e776068,,Грязовец,Вологодская область
117,Кадников,59.5037764,40.3441148,Вологодская,RU-VLG,Северо-Западный,0,19238504000,19638104001,3501700200000,eb52b8bf-131d-4250-9a09-c0d41a7d42ee,,Кадников,Вологодская область
118,Кириллов,59.8591523,38.3748782,Вологодская,RU-VLG,Северо-Западный,1,19228501000,19628101001,3501200100000,bfe722ba-8bfd-4dbd-acc5-73da667a0f95,,Кириллов,Вологодская область
119,Красавино,60.9612823,46.4814116,Вологодская,RU-VLG,Северо-Западный,0,19410501000,19614105001,3500600200000,78a546b6-196d-407f-a082-e7e85ff4acad,,Красавино,Вологодская область
120,Никольск,59.5351837,45.4576137,Вологодская,RU-VLG,Северо-Западный,1,19234501000,19634101001,3501500100000,9b602724-8b73-4979-ae01-3ba8a22c93f2,,Никольск,Вологодская область
121,Сокол,59.4758605,40.1114187,Вологодская,RU-VLG,Северо-Западный,1,19420000000,19638101001,3501700100000,500b9e8f-79cc-4c35-b497-110f550d6615,,Сокол,Вологодская область
122,Тотьма,59.9734998,42.7589506,Вологодская,RU-VLG,Северо-Западный,1,19246501000,19646101001,3502000100000,3a0d6df8-c23f-4435-83bb-9f97dd2e3343,,Тотьма,Вологодская область
123,Устюжна,58.8383117,36.4425478,Вологодская,RU-VLG,Северо-Западный,1,19250501000,19650101001,3502200100000,3c2ceeea-04a9-4171-b4dd-341620290258,,Устюжна,Вологодская область
124,Харовск,59.9479423,40.2000298,Вологодская,RU-VLG,Северо-Западный,1,19252501000,19652101001,3502300100000,e5e0513c-fc84-4373-b3ee-05f8382f8110,,Харовск,Вологодская область
125,Череповец,59.1269212,37.9090497,Вологодская,RU-VLG,Северо-Западный,0,19430000000,19730000001,3500000200000,b4c30848-5181-44b4-88fa-456e1c4aeb0f,,Череповец,Вологодская область
126,Бобров,51.0901649,40.0318256,Воронежская,RU-VOR,Центральный,1,20204501000,20604101001,3600300100000,0a50bda2-e801-4e11-bcc0-8c6469d46a5d,,Бобров,Воронежская область
127,Богучар,49.9352454,40.5590801,Воронежская,RU-VOR,Центральный,1,20205501000,20605101001,3600400100000,33b88f52-819d-4ba5-aa70-3fe4ccfd33d6,,Богучар,Воронежская область
128,Борисоглебск,51.3655754,42.1008334,Воронежская,RU-VOR,Центральный,1,20410000000,20710000001,3600500100000,e5c49f70-5235-49ef-a16b-816114b36566,,Борисоглебск,Воронежская область
