,city,region_name,lat_x,lon_x,lat_y,lon_y,distance_km
597,Добрянка,Пермский край,58.469685,56.4130737,58.46192485,56.42029448825272,0.9596455291569442
895,Красноуральск,Свердловская область,58.348651,60.0408764,58.357063,60.037445,0.9565557237383254
303,Апшеронск,Краснодарский край,44.4584006,39.7299824,44.4618046,39.741048,0.9563068856998079
263,Осинники,Кемеровская область - Кузбасс,53.5988055,87.3371272,53.606995,87.332893,0.9525224731996207
116,Грязовец,Вологодская область,58.8757553,40.2485362,58.8841692,40.2515006,0.9509672047812242
703,Воркута,Республика Коми,67.4974082,64.061034,67.4948535,64.0399469,0.9413392518964406
846,Калининск,Саратовская область,51.4993591,44.4710435,51.499947,44.484581,0.9393566562073407
289,Буй,Костромская область,58.4733277,41.5306822,58.4816821,41.532956,0.9383250170738217
675,Избербаш,Республика Дагестан,42.5650962,47.8710051,42.5710804,47.862999,0.9341486869099752
435,Истра,Московская область,55.9062267,36.8601454,55.9145993,36.8595482,0.9317343366914753
177,Железногорск-Илимский,Иркутская область,56.5847888,104.114275,56.577915,104.12294,0.9304808819324121
90,Суздаль,Владимирская область,56.4274441,40.4525692,56.4193908,40.4487893,0.9251640961960134
588,Сердобск,Пензенская область,52.4697595,44.2122414,52.461506,44.213924,0.9247989020640064
